BatID,studyday,Roost_x,Roost_y
1,5,321630,89400
1,6,320400,89180
1,7,321630,89400
1,8,320400,89180
1,9,320400,89180
3,2,318650,89950
4,2,320400,89180
4,3,320400,89180
4,4,320400,89180
4,5,320400,89180
4,6,320400,89180
5,5,320400,89180
5,6,320400,89180
5,7,320400,89180
6,6,321630,89400
6,7,321630,89400
6,8,321630,89400
6,9,320400,89180
6,10,320400,89180
6,11,320400,89180
6,12,320400,89180
7,5,320400,89180
7,6,320400,89180
7,7,320400,89180
7,8,320400,89180
7,9,320400,89180
8,5,320400,89180
8,6,320400,89180
8,7,320400,89180
8,10,320400,89180
8,11,320400,89180
9,21,320400,89180
9,22,320400,89180
9,23,320400,89180
9,24,320400,89180
10,21,320400,89180
11,19,321630,89400
11,24,319550,99630
12,19,321630,89400
